timestamp,volume_L
2025-06-01 00:00:00,38.821
2025-06-01 00:05:00,34.763
2025-06-01 00:10:00,36.298
2025-06-01 00:15:00,37.251
2025-06-01 00:20:00,40.374
2025-06-01 00:25:00,40.374
2025-06-01 00:30:00,41.062
2025-06-01 00:35:00,35.363
2025-06-01 00:40:00,37.233
2025-06-01 00:45:00,36.474
2025-06-01 00:50:00,41.327
2025-06-01 00:55:00,34.621
2025-06-01 01:00:00,35.592
2025-06-01 01:05:00,39.968
2025-06-01 01:10:00,40.18
2025-06-01 01:15:00,40.18
2025-06-01 01:20:00,39.315
2025-06-01 01:25:00,37.762
2025-06-01 01:30:00,38.415
2025-06-01 01:35:00,39.421
2025-06-01 01:40:00,37.145
2025-06-01 01:45:00,40.48
2025-06-01 01:50:00,39.404
2025-06-01 01:55:00,38.874
2025-06-01 02:00:00,38.257
2025-06-01 02:05:00,35.927
2025-06-01 02:10:00,40.056
2025-06-01 02:15:00,37.833
2025-06-01 02:20:00,37.286
2025-06-01 02:25:00,41.133
2025-06-01 02:30:00,37.18
2025-06-01 02:35:00,40.268
2025-06-01 02:40:00,41.009
2025-06-01 02:45:00,34.763
2025-06-01 02:50:00,34.657
2025-06-01 02:55:00,35.768
2025-06-01 03:00:00,39.315
2025-06-01 03:05:00,40.78
2025-06-01 03:10:00,36.633
2025-06-01 03:15:00,38.362
2025-06-01 03:20:00,40.603
2025-06-01 03:25:00,37.974
2025-06-01 03:30:00,41.221
2025-06-01 03:35:00,35.045
2025-06-01 03:40:00,39.633
2025-06-01 03:45:00,36.792
2025-06-01 03:50:00,39.262
2025-06-01 03:55:00,37.798
2025-06-01 04:00:00,37.604
2025-06-01 04:05:00,40.162
2025-06-01 04:10:00,34.621
2025-06-01 04:15:00,35.998
2025-06-01 04:20:00,34.833
2025-06-01 04:25:00,35.151
2025-06-01 04:30:00,37.251
2025-06-01 04:35:00,34.957
2025-06-01 04:40:00,40.85
2025-06-01 04:45:00,40.092
2025-06-01 04:50:00,41.15
2025-06-01 04:55:00,39.174
2025-06-01 05:00:00,38.733
2025-06-01 05:05:00,39.545
2025-06-01 05:10:00,35.627
2025-06-01 05:15:00,38.945
2025-06-01 05:20:00,39.492
2025-06-01 05:25:00,37.639
2025-06-01 05:30:00,40.48
2025-06-01 05:35:00,35.804
2025-06-01 05:40:00,40.939
2025-06-01 05:45:00,34.498
2025-06-01 05:50:00,36.015
2025-06-01 05:55:00,40.074
2025-06-01 06:00:00,41.433
2025-06-01 06:05:00,35.716
2025-06-01 06:10:00,36.474
2025-06-01 06:15:00,36.315
2025-06-01 06:20:00,36.015
2025-06-01 06:25:00,40.939
2025-06-01 06:30:00,38.945
2025-06-01 06:35:00,40.656
2025-06-01 06:40:00,35.38
2025-06-01 06:45:00,37.074
2025-06-01 06:50:00,39.139
2025-06-01 06:55:00,41.027
2025-06-01 07:00:00,39.28
2025-06-01 07:05:00,39.174
2025-06-01 07:10:00,36.315
2025-06-01 07:15:00,36.968
2025-06-01 07:20:00,35.204
2025-06-01 07:25:00,38.133
2025-06-01 07:30:00,40.621
2025-06-01 07:35:00,36.439
2025-06-01 07:40:00,36.104
2025-06-01 07:45:00,37.498
2025-06-01 07:50:00,36.033
2025-06-01 07:55:00,37.974
2025-06-01 08:00:00,37.78
2025-06-01 08:05:00,38.451
2025-06-01 08:10:00,41.292
2025-06-01 08:15:00,40.709
2025-06-01 08:20:00,41.239
2025-06-01 08:25:00,36.968
2025-06-01 08:30:00,39.245
2025-06-01 08:35:00,37.886
2025-06-01 08:40:00,35.063
2025-06-01 08:45:00,39.704
2025-06-01 08:50:00,38.574
2025-06-01 08:55:00,36.139
2025-06-01 09:00:00,39.845
2025-06-01 09:05:00,40.921
2025-06-01 09:10:00,39.421
2025-06-01 09:15:00,40.339
2025-06-01 09:20:00,34.904
2025-06-01 09:25:00,35.768
2025-06-01 09:30:00,37.004
2025-06-01 09:35:00,35.31
2025-06-01 09:40:00,35.804
2025-06-01 09:45:00,40.145
2025-06-01 09:50:00,35.168
2025-06-01 09:55:00,37.657
2025-06-01 10:00:00,35.768
2025-06-01 10:05:00,35.151
2025-06-01 10:10:00,39.227
2025-06-01 10:15:00,40.692
2025-06-01 10:20:00,39.862
2025-06-01 10:25:00,38.451
2025-06-01 10:30:00,35.698
2025-06-01 10:35:00,35.398
2025-06-01 10:40:00,41.415
2025-06-01 10:45:00,37.868
2025-06-01 10:50:00,38.521
2025-06-01 10:55:00,39.898
2025-06-01 11:00:00,40.621
2025-06-01 11:05:00,39.086
2025-06-01 11:10:00,34.816
2025-06-01 11:15:00,39.192
2025-06-01 11:20:00,37.798
2025-06-01 11:25:00,36.51
2025-06-01 11:30:00,38.909
2025-06-01 11:35:00,34.604
2025-06-01 11:40:00,34.674
2025-06-01 11:45:00,39.686
2025-06-01 11:50:00,37.957
2025-06-01 11:55:00,39.351
2025-06-01 12:00:00,39.456
2025-06-01 12:05:00,41.203
2025-06-01 12:10:00,37.162
2025-06-01 12:15:00,37.921
2025-06-01 12:20:00,41.098
2025-06-01 12:25:00,39.509
